new_name, old_name
Gender, A1
Gender_x, A1_4_TEXT
Geboortemaand, A2a
Geboortejaar, A2b
Onderwijstype, A3
Onderwijstype_x, A3_4_TEXT
POgroep, A4a
VOniveau, A5a
VOniveau_x, A5a_8_TEXT
VOjaar, A4b
TOniveau, A5b
TOjaar, A4c
VnS_1, B2-B4_1
VnS_2, B2-B4_2
VnS_3, B2-B4_3
VnS_4, B5-B12_1
VnS_5, B5-B12_2
VnS_6, B5-B12_3
VnS_7, B5-B12_4
VnS_8, B5-B12_5
VnS_9, B5-B12_6
VnS_10, B5-B12_7
VnS_11, B5-B12_8
BFS_1, R1-R6_1
BFS_2, R1-R6_2
BFS_3, R1-R6_3
BFS_4, R1-R6_4
BFS_5, R1-R6_5
BFS_6, R1-R6_6
BFS_7, R7-R12_1
BFS_8, R7-R12_2
BFS_9, R7-R12_3
BFS_10, R7-R12_4
BFS_11, R7-R12_5
BFS_12, R7-R12_6
